Year,2022 Constant Dollars(Millions)
1958,903
1959,1456
1960,3967
1961,7286
1962,12161
1963,24394
1964,39356
1965,47285
1966,53513
1967,47612
1968,39737
1969,33923
1970,28273
1971,24438
1972,23947
1973,21833
1974,19315
1975,17778
1976,18879
1977,19327
1978,18683
1979,17661
1980,17613
1981,17823
1982,18665
1983,20135
1984,19872
1985,19729
1986,19764
1987,19553
1988,22497
1989,26054
1990,27840
1991,29818
1992,29114
1993,28979
1994,27039
1995,25693
1996,25901
1997,26178
1998,25484
1999,23954
2000,22819
2001,23295
2002,23437
2003,23242
2004,23475
2005,23378
2006,21956
2007,22385
2008,24239
2009,24255
2010,25127
2011,23999
2012,22651
2013,21187
2014,21814
2015,22235
2016,23534
2017,23290
2018,24165
2019,24609
2020,25509